order_profile_id,segment_id,run_id,track_a,track_b,segment_frame_count,paired_raw_interval_frame_count,raw_relation_set,whole_segment_optical_order,whole_segment_definite_order,overlap_or_uncertain_frame_set,unavailable_frame_set,nominal_frame_equality_used_as_hard_timing_authority,manual_reference_used
TERGOP_760A5C03BC8FBDEA6FB1,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495,False,False
TERGOP_C72A792DE4AFDB976B33,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,8,2,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,490;491;492;493;494;495,False,False
TERGOP_171AA4B2C25AA09E6650,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495,False,False
TERGOP_FC1DEFE52A686A34C8FD,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495,False,False
TERGOP_519F52D43FE387A98148,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,8,2,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,490;491;492;493;494;495,False,False
TERGOP_F97D9C1508FAA089A6AA,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495,False,False
TERGOP_AA090A03133C53F2E2FA,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,8,2,{OPTICAL_OVERLAP_OR_UNCERTAIN},NO_WHOLE_SEGMENT_DEFINITE_ORDER,False,488;489,490;491;492;493;494;495,False,False
TERGOP_B06252F2046CE95112F3,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495,False,False
TERGOP_811670501BC012E56A7D,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_REUSED_R02ZF_PERSON024,8,2,{OPTICAL_OVERLAP_OR_UNCERTAIN},NO_WHOLE_SEGMENT_DEFINITE_ORDER,False,488;489,490;491;492;493;494;495,False,False
TERGOP_21BB68DF234FD1F6D818,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,5,5,{A_LEFT_OF_B},A_LEFT_OF_B,True,,,False,False
TERGOP_C83413088821C21D0B51,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,5,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_2BABCC1E30AE8321D03D,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,5,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_651A1A0775171CC56EF0,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,5,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_9949539919434B3F5B6B,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,5,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_D7110606732DBB2EBA25,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,5,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_FA75635301AC2DFA121C,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,8,5,{A_LEFT_OF_B},A_LEFT_OF_B,True,,495;496;497,False,False
TERGOP_16BAF2A3DCB6B02EC0F2,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,8,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495;496;497,False,False
TERGOP_A9676C55D33CF40BB72A,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,8,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495;496;497,False,False
TERGOP_E35C61AA49E6DF33BD89,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,8,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495;496;497,False,False
TERGOP_6996771EFB942BB2EF38,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,8,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495;496;497,False,False
TERGOP_32E261730C4D9B341904,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,8,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,495;496;497,False,False
