timing_condition,pair_index,source_track_id,source_optical_frame_index,destination_optical_frame_index,d_left_o_deg_v2,d_right_o_deg_v2,d_mid_o_deg_v2,d_width_o_deg_v2,optical_dynamic_state_v2,bank_row_multiplicity
NOMINAL,13,R02ZF_REUSED_R02ZF_PERSON017,291.0,292.0,0.9527171449793741,0.9162003736244593,0.9344587593019185,-0.03651677135491482,OPTICAL_COHERENT_POSITIVE_SHIFT,81
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,15,R02ZF_REUSED_R02ZF_PERSON021,291.0,292.0,1.8732160147384747,1.9372629764583351,1.9052394955984013,0.06404696171986046,OPTICAL_COHERENT_POSITIVE_SHIFT,42
SAR_SHIFT_MINUS_1,13,R02ZF_REUSED_R02ZF_PERSON018,290.0,291.0,0.9363475017006273,0.955124253988469,0.9457358778445482,0.018776752287841703,OPTICAL_COHERENT_POSITIVE_SHIFT,90
NOMINAL,20,R02ZF_REUSED_R02ZF_PERSON024,295.0,296.0,1.7009526988752484,2.1558444242118995,1.9283985615435775,0.4548917253366511,OPTICAL_COHERENT_POSITIVE_SHIFT,32
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,20,R02ZF_REUSED_R02ZF_PERSON024,294.0,295.0,1.418826177326288,2.081573148979963,1.7501996631531291,0.6627469716536751,OPTICAL_COHERENT_POSITIVE_SHIFT,18
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,18,R02ZF_REUSED_R02ZF_PERSON021,295.0,296.0,2.0929381538545755,1.926883437782827,2.0099107958187012,-0.1660547160717485,OPTICAL_COHERENT_POSITIVE_SHIFT,99
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,17,R02ZF_REUSED_R02ZF_PERSON018,292.0,293.0,0.8124212620959028,0.8551356474508118,0.8337784547733573,0.04271438535490901,OPTICAL_COHERENT_POSITIVE_SHIFT,77
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,12,R02ZF_REUSED_R02ZF_PERSON017,289.0,290.0,1.106474284532922,1.1523346751028463,1.1294044798178842,0.04586039056992419,OPTICAL_COHERENT_POSITIVE_SHIFT,90
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,0,R02ZF_REUSED_R02ZF_PERSON018,284.0,285.0,0.8756782640209018,0.789958166394328,0.8328182152076149,-0.08572009762657373,OPTICAL_COHERENT_POSITIVE_SHIFT,64
SAR_SHIFT_MINUS_1,21,R02ZF_REUSED_R02ZF_PERSON017,295.0,296.0,0.9029311648688854,0.866526692720381,0.8847289287946349,-0.036404472148504397,OPTICAL_COHERENT_POSITIVE_SHIFT,182
NOMINAL,7,R02ZF_REUSED_R02ZF_PERSON018,287.0,288.0,0.7203098750290096,0.6351431357946247,0.6777265054118153,-0.08516673923438489,OPTICAL_COHERENT_POSITIVE_SHIFT,49
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,18,R02ZF_REUSED_R02ZF_PERSON021,293.0,294.0,1.9765249750753355,1.9295167727199534,1.9530208738976462,-0.04700820235538217,OPTICAL_COHERENT_POSITIVE_SHIFT,63
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,20,R02ZF_REUSED_R02ZF_PERSON024,296.0,297.0,2.3150610953197557,2.1594388124763597,2.2372499538980612,-0.15562228284339596,OPTICAL_COHERENT_POSITIVE_SHIFT,54
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,7,R02ZF_REUSED_R02ZF_PERSON018,286.0,287.0,0.9222694131755027,0.8502872514137501,0.8862783322946264,-0.07198216176175265,OPTICAL_COHERENT_POSITIVE_SHIFT,42
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,8,R02ZF_REUSED_R02ZF_PERSON017,289.0,290.0,1.106474284532922,1.1523346751028463,1.1294044798178842,0.04586039056992419,OPTICAL_COHERENT_POSITIVE_SHIFT,42
NOMINAL,12,R02ZF_REUSED_R02ZF_PERSON018,290.0,291.0,0.9363475017006273,0.955124253988469,0.9457358778445482,0.018776752287841703,OPTICAL_COHERENT_POSITIVE_SHIFT,80
SAR_SHIFT_PLUS_1,12,R02ZF_REUSED_R02ZF_PERSON017,291.0,292.0,0.9527171449793741,0.9162003736244593,0.9344587593019185,-0.03651677135491482,OPTICAL_COHERENT_POSITIVE_SHIFT,72
SAR_SHIFT_MINUS_1,18,R02ZF_REUSED_R02ZF_PERSON021,293.0,294.0,1.9765249750753355,1.9295167727199534,1.9530208738976462,-0.04700820235538217,OPTICAL_COHERENT_POSITIVE_SHIFT,63
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,13,R02ZF_REUSED_R02ZF_PERSON017,292.0,293.0,0.8922057771952581,0.8858047226104944,0.8890052499028744,-0.006401054584763699,OPTICAL_COHERENT_POSITIVE_SHIFT,81
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,20,R02ZF_REUSED_R02ZF_PERSON021,294.0,295.0,2.1272040585701575,1.7275490969521918,1.9273765777611747,-0.39965496161796565,OPTICAL_COHERENT_POSITIVE_SHIFT,72
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,15,R02ZF_REUSED_R02ZF_PERSON017,291.0,292.0,0.9527171449793741,0.9162003736244593,0.9344587593019185,-0.03651677135491482,OPTICAL_COHERENT_POSITIVE_SHIFT,99
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,20,R02ZF_REUSED_R02ZF_PERSON017,294.0,295.0,0.8724183320789365,0.8455723124005132,0.8589953222397231,-0.02684601967842326,OPTICAL_COHERENT_POSITIVE_SHIFT,210
SAR_SHIFT_PLUS_1,2,R02ZF_REUSED_R02ZF_PERSON018,285.0,286.0,0.811884178948894,0.8486288037576983,0.8302564913532962,0.03674462480880436,OPTICAL_COHERENT_POSITIVE_SHIFT,30
NOMINAL,17,R02ZF_REUSED_R02ZF_PERSON017,293.0,294.0,0.879091183286242,0.8774294805811564,0.878260331933701,-0.0016617027050855881,OPTICAL_COHERENT_POSITIVE_SHIFT,88
SAR_SHIFT_MINUS_1,8,R02ZF_REUSED_R02ZF_PERSON017,287.0,288.0,0.7128639495969011,0.7007144778218475,0.7067892137093743,-0.012149471775053655,OPTICAL_COHERENT_POSITIVE_SHIFT,35
SAR_SHIFT_MINUS_1,19,R02ZF_REUSED_R02ZF_PERSON017,294.0,295.0,0.8724183320789365,0.8455723124005132,0.8589953222397231,-0.02684601967842326,OPTICAL_COHERENT_POSITIVE_SHIFT,195
SAR_SHIFT_MINUS_1,11,R02ZF_REUSED_R02ZF_PERSON017,289.0,290.0,1.106474284532922,1.1523346751028463,1.1294044798178842,0.04586039056992419,OPTICAL_COHERENT_POSITIVE_SHIFT,90
NOMINAL,18,R02ZF_REUSED_R02ZF_PERSON021,294.0,295.0,2.1272040585701575,1.7275490969521918,1.9273765777611747,-0.39965496161796565,OPTICAL_COHERENT_POSITIVE_SHIFT,88
